  [Debug] 09:44:40,915 DEBUG ApplicationManage ~ new ApplicationManage() begin.....
  [Debug] 09:44:40,915 DEBUG ApplicationManage ~ new ApplicationManage() end .....
  [Debug] 09:44:40,915 DEBUG SystemConfigCacgeOperate ~ readerSysConfig end.
  [Debug] 09:44:40,915 DEBUG DeployFileManage ~ readDeployFile filepath:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ begin.....
  [Debug] 09:44:40,915 DEBUG DeployFileManage ~ seek file path:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ regex:action.+.xml begin...
  [Debug] 09:44:40,915 DEBUG DeployFileManage ~ add path:D:\java_workspace\mbrOld\CloudEngine\bin\config\action_demo.xml
  [Debug] 09:44:40,915 DEBUG DeployFileManage ~ seek file path:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ regex:action.+.xml end...
  [Debug] 09:44:40,978 DEBUG DeployFileManage ~ readDeployFile filepath:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ end.....
  [Debug] 09:46:07,754 DEBUG ActionCacheOperate ~ new ActionCacheOperate() begin.....
  [Debug] 09:46:07,754 DEBUG ActionCacheOperate ~ new ActionCacheOperate() end .....
  [Debug] 09:46:07,763 DEBUG DeployFileManage ~ new DeployFileManage() begin.....
  [Debug] 09:46:07,763 DEBUG DeployFileManage ~ new DeployFileManage() end .....
  [Debug] 09:46:07,826 DEBUG ConfigManage ~ new ConfigManage() begin.....
  [Debug] 09:46:07,826 DEBUG SystemConfigCacgeOperate ~ new SystemConfigCacgeOperate() begin.....
  [Debug] 09:46:07,826 DEBUG SystemConfigCacgeOperate ~ new SystemConfigCacgeOperate() end .....
  [Debug] 09:46:07,826 DEBUG SystemConfigCacgeOperate ~ readerSysConfig begin...
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ seek file path:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ regex:sys_.+.properties begin...
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ add path:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ add path:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ seek file path:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ regex:sys_.+.properties end...
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties begin...
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_DISTRIBUTION_REGEX_BOOK=suffix.+.xml
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_DEPEND_REGEX_BOOK=depend.+.xml
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:CONFIG_PATH=
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:CHARSET=UTF-8
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_REMOTE_REGEX_BOOK=remote.+.xml
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_CHECK_REGEX_BOOK=check.+.xml
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_ACTION_REGEX_BOOK=action.+.xml
  [Debug] 09:46:07,826 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties end...
